"FCDATOBENEFIC","FNREGISTROS","FNTOTAL","FITIPODATO"
"HILDA PATRICIA",8,147212,1
"FELIPA CAROLINA",3,147212,1
"MARTINA ARACELI",4,147212,1
"GUADALUPE MONTSERR",2,147212,1
"GUSTAVO ANGEL",10,147212,1
"KARLA MARIANA",2,147212,1
"CRISTINA ISABEL",8,147212,1
"DIANA MELISSA",2,147212,1
"LOURDES ARIZBETH",4,147212,1
"CARLOS  IVAN",2,147212,1
"KARLA ERENDIDA",3,147212,1
"MARIA ALEXA",2,147212,1
"KARLA ANDREA",8,147212,1
"NAOMI AKEMI",2,147212,1
"ROXANA  LIZBETH",2,147212,1
"FLOR JANETH",2,147212,1
"FABIOLA YANETH",5,147212,1
"CLAUDIA  LETICIA",2,147212,1
"CELIDA ANETH",2,147212,1
"JESUS ISMAEL",2,147212,1
"CRISTIAN MARTIN",2,147212,1
"MASAMI",3,147212,1
"REYNA VALERIA",4,147212,1
"CLAUDIA JANETH",11,147212,1
"SANDRA ISABEL",8,147212,1
"DULCE ESTEFANIA",2,147212,1
"CINTHIA GABRIELA",6,147212,1
"NORMA LUZ",2,147212,1
"KEVIN ISMAEL",2,147212,1
"LEXLANE",2,147212,1
"JANETH JAZMIN",2,147212,1
"LEYDI GUADALUPE",12,147212,1
"SANDRA DANIELA",2,147212,1
"FELICIANO",24,147212,1
"JOSE FIDEL",8,147212,1
"EDITH JANET",2,147212,1
"REBECA PATRICIA",2,147212,1
"KARLA LIZETH",10,147212,1
"CARMEN ALEJANDRA",6,147212,1
"FLOR EDITH",2,147212,1
"ELENA ROCIO",2,147212,1
"LUZ CECILIA",2,147212,1
"CESAR OCTAVIO",8,147212,1
"CLAUDIA DENISSE",6,147212,1
"PAMELA JAZMIN",2,147212,1
"DIANA ROSARIO",8,147212,1
"TAHIS",2,147212,1
"TRICIA CIRIA",2,147212,1
"ALAN EMANUEL",2,147212,1
"CRUZ YURAMI",2,147212,1
"CRUZ DAVID",2,147212,1
"YULIANA GUADALUPE",4,147212,1
"MARIA ELVIRA",2,147212,1
"ALEJANDRO YAIR",2,147212,1
"TONY",3,147212,1
"OSCAR D JAIR",6,147212,1
"RUTH ELENA",2,147212,1
"IVEY",4,147212,1
"RUL",2,147212,1
"JUANA ANDREA",2,147212,1
"FRANCISCA VERONICA",2,147212,1
"ALMA ALELI",2,147212,1
"ALICIA SOLEDAD",2,147212,1
"CRISTAL YORITZI",4,147212,1
"YURIDIA DEL SOCORRO",2,147212,1
"MARIA YESENIA",27,147212,1
"DARLYN BERENICE",2,147212,1
"FERNANDA MAYTE",2,147212,1
"LUZ ADELA",2,147212,1
"ALMA EVELIA",2,147212,1
"LEONARDA",7,147212,1
"ITZYA MARIA",2,147212,1
"SERGIO ALEJANDRO",6,147212,1
"EDGAR FRANCISCO",5,147212,1
"LIZETH ALEJANDRA",10,147212,1
"GLORIA MELISSA",2,147212,1
"JAYRI YOLANDA",2,147212,1
"JESSICA ANDREA",3,147212,1
"MARTHA ARACELI",6,147212,1
"ANASTACIA",4,147212,1
"IRAC",2,147212,1
"CLAUDIA CARELLI",2,147212,1
"ESTHER ABIGAIL",4,147212,1
"EDWIN CRISTHIAN",9,147212,1
"MIRIAM DANIELA",8,147212,1
"CRISTOPHER ADRIAN",2,147212,1
"SALMA LIZBETH",2,147212,1
"LESLLY CAROL",2,147212,1
"BRENDA PAOLA",12,147212,1
"BETSIE JARED",4,147212,1
"LIZZETTE",4,147212,1
"ALMA LIZETH GUADALUPE",2,147212,1
"J LUIS FERNANDO",4,147212,1
"FERNANDA LIZETH",2,147212,1
"IVONNE PAULINA",2,147212,1
"JAZMIN SAC NICTE",2,147212,1
"VIRIDIANA ELIZABET",2,147212,1
"JOSE GUADALUPE ISAAC",2,147212,1
"ELSA MARIA",8,147212,1
"ORFEDALIA",2,147212,1
"YOLANDA CAROLINA",4,147212,1
"JOSE EULALIO",4,147212,1
"ITZEL ESTELA",2,147212,1
"CALEB DAVID",2,147212,1
"SAURIANE",6,147212,1
"MARIELL",2,147212,1
"LUIS HERNANDO",2,147212,1
"FLOR AIDE",4,147212,1
"JORGE JOEL",2,147212,1
"YOLIDAVEY",2,147212,1
"JOHN",2,147212,1
"KAREN LEONORA",2,147212,1
"ERICK OCTAVIO",4,147212,1
"WILLIAM EDUARDO",2,147212,1
"OSCAR HUMBERTO",2,147212,1
"VERONICA CRISTAL",4,147212,1
"AMERICA GUADALUPE",19,147212,1
"MIREYA GUADALUPE",2,147212,1
"JULIA GUADALUPE",8,147212,1
"ALMA LUZ",20,147212,1
"ESTEPHANIE ALINE",2,147212,1
"KENIA JESSICA",3,147212,1
"MARIA DE LA CONCEP",4,147212,1
"MARTIN IGNACIO",2,147212,1
"JESUS OMAR",12,147212,1
"NORMA JAQUELINE",3,147212,1
"WENDY LIZETH",11,147212,1
"MAYRA MAYELA",2,147212,1
"MA DEL SOCORRO",23,147212,1
"ALMA CONCEPCION",3,147212,1
"ISAEL",4,147212,1
"IDALMY ASIRY",2,147212,1
"CEYLA",2,147212,1
"ELIAS JEOVANY",2,147212,1
"JESUS CECILIA",2,147212,1
"ITZEL ARIDHAI",2,147212,1
"ALONDRA ISABEL",5,147212,1
"CARINA JAZMIN",2,147212,1
"NANCI ALMA BELLA",4,147212,1
"ANGELICA LETICIA",4,147212,1
"JULIA ORALIA",4,147212,1
"MICHAEL YAIR",2,147212,1
"ANA ALINE",2,147212,1
"JUAN MIGUEL",31,147212,1
"LUZ CLARA",8,147212,1
"LUCELY ANGELICA",2,147212,1
"AGLAE",2,147212,1
"ESTIBALIZ",2,147212,1
"JEOVANY",2,147212,1
"CORAL ABIGAIL",2,147212,1
"JOAQUIN ANTONIO",2,147212,1
"CALEB SYM",2,147212,1
"GENESIS ALEIDA",2,147212,1
"ASTRID ESTEFANIA",2,147212,1
"CELIA MAYTE",2,147212,1
"ROSA CINDY",2,147212,1
"NAOMI NAZARETH",6,147212,1
"PAOLA ESPERANZA",4,147212,1
"ROCIO MARIBEL",2,147212,1
"RENATA IVONNE SAMA",2,147212,1
"MARTHA BERNARDA",2,147212,1
"PRUDENCIO",6,147212,1
"MARIA DEL CARMEN GUADALUPE",3,147212,1
"RODRIGO ABRAHAM",2,147212,1
"KASSANDRA YANELLI",4,147212,1
"ELISA ROSARIO",2,147212,1
"CYNTHIA YARELI",2,147212,1
"FAUSTO",4,147212,1
"ERMINDA DEL CARMEN",2,147212,1
"LUCINDA SARAI",4,147212,1
"JUANA ERIKA",8,147212,1
"KARLA ISELA",4,147212,1
"GRETEL",2,147212,1
"HERMINIA ABIGAIL",4,147212,1
"CINTHYA CAROLINA",5,147212,1
"ANA DALIA",11,147212,1
"ALMIDIA",2,147212,1
"KARLA TERESA",2,147212,1
"MAGDALENO",5,147212,1
"ANICETA",2,147212,1
"GABRIEL DE JESUS",2,147212,1
"YULIEGNEYH DUNIA",2,147212,1
"CARLOS GERARDO",11,147212,1
"JULISA",15,147212,1
"LORENA DEYANIRA",6,147212,1
"ABIGAIL DEL ROSARIO",2,147212,1
"REBECA JONANETT",2,147212,1
"VIANNEY",20,147212,1
"SOFIA MARISELA",2,147212,1
"NINFA ARELY",2,147212,1
"MAYTE GISELA",4,147212,1
"CECILIA DEL CARMEN",4,147212,1
"KENIA KARINA",4,147212,1
"FATIMA ESTEFANIA",4,147212,1
"OSCAR ARTURO",2,147212,1
"KAREN NOHEMI",2,147212,1
"GLORIA VALERIA",1,147212,1
"SADOC ISRAEL",2,147212,1
"ELAINE",2,147212,1
"DANA CONSUELO",2,147212,1
"SANDRA BERENICE",6,147212,1
"GUADALUPE ROCIO",6,147212,1
"JANET GUADALUPE ES",2,147212,1
"MIRIDIANA",8,147212,1
"MARIANA LUCIA",2,147212,1
"LOURDES ESTEFANIA",2,147212,1
"CARLOS HAZEL",4,147212,1
"JORGE ARIEL",4,147212,1
"ABRIL",18,147212,1
"JUAN JAIME",6,147212,1
"CARMEN GUADALUPE",20,147212,1
"YARENY",6,147212,1
"YADIRA MARGARITA",2,147212,1
"YURISIA MA DEL ROSARIO",2,147212,1
"GEMA PATRICIA",2,147212,1
"FRANCISCA MONTSERRAT",4,147212,1
"DEYANIRA ELIZABETH",2,147212,1
"LAURA DE JESUS",2,147212,1
"YANELI ARACELI",2,147212,1
"CESAR IVAN",14,147212,1
"DULCE ARISAY",6,147212,1
"SANDRA ARACELY",10,147212,1
"HILARIA",11,147212,1
"YERIBETH",2,147212,1
"BRISA ELIZABETH",6,147212,1
"KOVIN BRAYAN",6,147212,1
"ELDA",12,147212,1
"MARCO ABEL",2,147212,1
"LUCIA ADILENE",2,147212,1
"JACQUELINE ALEJAND",2,147212,1
"CLAUDIA LUCIA",4,147212,1
"PAOLA JANETTE",4,147212,1
"BRENDA MARISOL",8,147212,1
"SANDRA LUCIA",13,147212,1
"BLANCA IVONNE",6,147212,1
"IRAIS SANDRA",5,147212,1
"YADIRA JHOSARI",2,147212,1
"ANYLU",2,147212,1
"ERIKA DE LOURDES",2,147212,1
"ITZEL ANABEL",2,147212,1
"OKSANA LIZBETH",4,147212,1
"MARIBEL ASENET",2,147212,1
"YOSUNIA ARACELI",2,147212,1
"SUGELY",2,147212,1
"PAOLA MAYTE",2,147212,1
"ZOBEIDA ELIZABETH",4,147212,1
"ROSALIND A",4,147212,1
"MA ISIDORA",4,147212,1
"BRENDA TRINIDAD",2,147212,1
"JESSICA CRISTEL",2,147212,1
"ARIOSTO",4,147212,1
"EVER YAIR",6,147212,1
"MARTHA SILVIA",2,147212,1
"KAREN KEMY",3,147212,1
"RICARDO YAEL",2,147212,1
"RAMIRO DE GUADALUP",4,147212,1
"MAURA LIZZETH",2,147212,1
"MARTHA DALILA",2,147212,1
"LUCIA NAYELI",2,147212,1
"YAZIME YAZUCO",4,147212,1
"MARISSA NALLELY",2,147212,1
"JOSUE OMAR",7,147212,1
"DEBANHI MARENA",3,147212,1
"CESAR JOSEPH",2,147212,1
"MA ESTHER",16,147212,1
"ESMERALDA MARINA",4,147212,1
"FERNANDO AGUSTIN",4,147212,1
"ANA JAZMIN",2,147212,1
"MARTHA JULIA",9,147212,1
"DELIA EDITH",2,147212,1
"MONICA MARINA",5,147212,1
"RUT JARED",2,147212,1
"SELENA SCANDA",2,147212,1
"LESLY ARACELI",2,147212,1
"RITA YARITZA",2,147212,1
"NOEMI YOMIRA",2,147212,1
"LIZBETH VESELAY",2,147212,1
"ESMERALDA ANALI",2,147212,1
"ILIANA ABIGAIL",10,147212,1
"FATIMA DALILA",2,147212,1
"AMERICA LIZBETH",2,147212,1
"ALMA BRUNA",2,147212,1
"ARELY DANIELA",4,147212,1
"ASCENCION",10,147212,1
"MARELY",4,147212,1
"CARLA AMAIRANI",2,147212,1
"VERENICE",17,147212,1
"BRENDA LIZETT",2,147212,1
"LISETTE",2,147212,1
"YAZMIN ESMERALDA",4,147212,1
"SHAILA",4,147212,1
"MARLETH ALEJANDRA",2,147212,1
"JUAN ENRIQUE",12,147212,1
"WENDY YARELY",4,147212,1
"ESTRELLA EUNICE",2,147212,1
"HECTOR ADRIAN",8,147212,1
"NALLELY CLEMENTINA",4,147212,1
"ERNESTINA",30,147212,1
"RUBI ITZEL",4,147212,1
"SULEYMA",3,147212,1
"ANDRES EZEQUIEL",4,147212,1
"ROSA PATRICIA",6,147212,1
"DAVID GABRIEL",2,147212,1
"LAURA KAREN",2,147212,1
"BRENDA YULENI",2,147212,1
"MARISSA",13,147212,1
"ARLENI MAGDALENA",1,147212,1
"EDUARDO ISAI",4,147212,1
"CYNTHIA ALEJANDRIN",4,147212,1
"FAVIOLA JOANA",2,147212,1
"CLAUDIA MILAGROS",2,147212,1
"KAREN SOLEDAD",6,147212,1
"OTON",2,147212,1
"REMEDIOS KORINA",6,147212,1
"SILVINO",12,147212,1
"ELVIRA YOLOTZIN",2,147212,1
"TADRIO EUGENIO",2,147212,1
"GIOVANA ISABEL",2,147212,1
"JOSE BERNARDO",8,147212,1
"EMILI",4,147212,1
"DORA SELENA",4,147212,1
"LISSY ANETTE",4,147212,1
"LILI",6,147212,1
"LAURA BELEN",6,147212,1
"AMANCIO",2,147212,1
"NUBIA",8,147212,1
"JANDA KARELI",1,147212,1
"MA DEL PILAR",11,147212,1
"TANIA LIZBETH",13,147212,1
"ANAYEL",2,147212,1
"DIANA PATRICIA",19,147212,1
"MARTHA BERENISE",2,147212,1
"PALMIRA BEZAIDA",2,147212,1
"NOE JORGE",8,147212,1
"MARILANDA",2,147212,1
"XIOMARA",4,147212,1
"KATE TIARE",2,147212,1
"JAQUELIN YAEL",2,147212,1
"KAREN DESIREE",4,147212,1
"BRENDA DOLORES",12,147212,1
"YAYRA DANIELLA",2,147212,1
"JHAHARA LIZETT",2,147212,1
"LAURA OLIVIA",8,147212,1
"OLGA LILIA",5,147212,1
"LIZBETH TAMARA",2,147212,1
"CRUZ ALEJANDRA",3,147212,1
"IVAN ALEXANDER",4,147212,1
"GASPAR",8,147212,1
"MARIA REBECA",14,147212,1
"LUZ ARELY",4,147212,1
"EDWIN IXCHEL",6,147212,1
"WENDY BERENICE",4,147212,1
"LAURA ALICIA",30,147212,1
"ASUNCION",22,147212,1
"CRISTIAN ARISTIDES",2,147212,1
"ERICKA CITLALI",2,147212,1
"FRANCISCO FERRER",3,147212,1
"SIRENIA ESBEIDY",2,147212,1
"ERIKA KARELY",7,147212,1
"CELINA IVONNE",2,147212,1
"JUAN SALVADOR",4,147212,1
"ANDREA AZUCENA",2,147212,1
"VIRGINIA CRISTINA",2,147212,1
"GONZALO",34,147212,1
"ARIADNA PATRICIA",8,147212,1
"RUTH CITLALI",2,147212,1
"LAURA DIANELY",2,147212,1
"CARMEN SARAHI",4,147212,1
"OLIVER EMANUEL",2,147212,1
"NORMAND EDMUNDO",2,147212,1
"MA CONSUELO",15,147212,1
"EDUARDO BRIAN",2,147212,1
"IBETH BERENICE",2,147212,1
"MARIA JOSEFINA",16,147212,1
"ARIZBE FABIOLA",4,147212,1
"SIDNEY ALEJANDRA KIAPEN",4,147212,1
"IRWIN JAVIER",5,147212,1
"IRVING MANUEL",2,147212,1
"GUSTAVO ABRAHAM",2,147212,1
"ATHZIRY LUCIA",2,147212,1
"ESTEBAN JUNIOR",2,147212,1
"ELIEZER",4,147212,1
"JOSUE ENRIQUE",2,147212,1
"IVETT",4,147212,1
"KARLA EDITH",10,147212,1
"MARIA DEL REFUJIO",2,147212,1
"LUZ VIANEY",7,147212,1
"LUIS DIEGO",8,147212,1
"STEPHANIA IXCHEL",2,147212,1
"SERGIO ENRIQUE",2,147212,1
"MAIRA ELENA",2,147212,1
"LUZ VIRGINIA",2,147212,1
"LUIS MARTIN",17,147212,1
"JUAN YOVANNI",4,147212,1
"ROSALBA DE LAS MERCEDES",1,147212,1
"FLOR IDALIA",5,147212,1
"ADDANARI",2,147212,1
"BRENDA OLIVIA",2,147212,1
"JOSEFA GUADALUPE",15,147212,1
"JESSICA AMARANTA",4,147212,1
"MARTIN SAUL",2,147212,1
"GRINDELIA",4,147212,1
"ELVA",22,147212,1
"LILIANA BERENICE",8,147212,1
"IRIS ABRIL",2,147212,1
"MARTHA VICTORIA",6,147212,1
"KAREN LIZBETH",12,147212,1
"SIMONA",8,147212,1
"JENIFER MARIANA",2,147212,1
"PRISCILA BERENICE",4,147212,1
"MAYAN",4,147212,1
"CLARA MARLEN",2,147212,1
"MARIA ADRIANA",18,147212,1
"MIRIAM CELESTE",2,147212,1
"SANDRA IVETTE",4,147212,1
"SANDRA LIBENIA",2,147212,1
"PAOLA JUDITH",6,147212,1
"FILOMENA",4,147212,1
"ROSA ESMERALDA",4,147212,1
"XOCHITL GABRIELA",2,147212,1
"YEDID",6,147212,1
"NANCY VIRIDIANA",4,147212,1
"JOSE RIGOBERTO",2,147212,1
"YOKO",2,147212,1
"ROSA IVETT",3,147212,1
"CINTHYA ELIZABETH",2,147212,1
"BLANCA SILVIA",8,147212,1
"ANDREA NATALIA",2,147212,1
"ELIUD HILARIO",4,147212,1
"MILLER",2,147212,1
"BRENDA GRACIELA",6,147212,1
"ADRIAN EDUARDO",2,147212,1
"MARA BELEN",2,147212,1
"DENISSE AURORA",2,147212,1
"WALTER ALAN",2,147212,1
"ROGER DEL CARMEN",4,147212,1
"TANIA SARAI",2,147212,1
"GLORIA YULIANA",4,147212,1
"ALONDRA MARITZA",2,147212,1
"LIBRADO DE JESUS",3,147212,1
"JAZMIN GUADALUPE",13,147212,1
"AMADO SAID",2,147212,1
"RUTH JOSELINE",2,147212,1
"SONIA ELIZABETH",6,147212,1
"SABINO",7,147212,1
"DIEGO RUBEN",2,147212,1
"DULCE DOLORES",2,147212,1
"FREDI SIMON",2,147212,1
"CRUZ YANCARLO",4,147212,1
"JENIFFER LILIANA",2,147212,1
"KEVIN ALEXIS",2,147212,1
"MAYRA FABIOLA",6,147212,1
"PATRICIA SAYURI RUTH",2,147212,1
"MONTSERRAT MICHEL",2,147212,1
"CARMEN GRISELDA",4,147212,1
"JENNY HAYDEE",2,147212,1
"SIOMARA",2,147212,1
"ANA",45,147212,1
"FRANCISCO JESUS",6,147212,1
"MOISES ALEXANDRO",4,147212,1
"ANETTE GUADALUPE",8,147212,1
"SILVIA LILIANA",6,147212,1
"NAVIL CUSICCOILLOR",4,147212,1
"ANDREA ELIZABETH",14,147212,1
"YAQUELIN",26,147212,1
"FABIOLA JANITZIN",5,147212,1
"CLAUDIO ALEJANDRO",4,147212,1
"VALERIA VIANEY",4,147212,1
"INGRID ASTRIT",4,147212,1
"CLARISSA",13,147212,1
"MICHELLE YESENIA",4,147212,1
"ANTHONY",2,147212,1
"ARACELY DEL CARMEN",2,147212,1
"JOSELYN IDALI",2,147212,1
"YAHAIRA",6,147212,1
"AYDE",10,147212,1
"YULIANA DEL CARMEN",2,147212,1
"CECILIA SELENE",7,147212,1
"ERENDIRA",38,147212,1
"CRUZ ADRIANA",4,147212,1
"CESAR LUIS ALBERTO",2,147212,1
"DEBORA SINAI",2,147212,1
"ODALYS HORTENCIA",2,147212,1
"DIANA IVONNE",4,147212,1
"ADA LILIA",9,147212,1
"CESAR RENE",2,147212,1
"REYNA ISABEL",16,147212,1
"EVELINE PAOLA",2,147212,1
"BRENDA LEONOR",3,147212,1
"SANDRA LORENA",10,147212,1
"FERNANDA KARELI",2,147212,1
"NELLY ITZEL",2,147212,1
"MELQUIADES",7,147212,1
"PERLA DEYANIRA",4,147212,1
"MARIA DEL MAR",6,147212,1
"EDUARDO SAMUEL",2,147212,1
"ARIANNA",18,147212,1
"FAUSTINO",12,147212,1
"ARGEMI",2,147212,1
"SOLAMITA",4,147212,1
"LUZ AIME",2,147212,1
"LILIA YADIRA",2,147212,1
"GEOMARA",2,147212,1
"ERIKA GUADALUPE",6,147212,1
"LINDA KARINA",2,147212,1
"DANA MARLENNE",2,147212,1
"JIMENA",25,147212,1
"ALICIA MILDRED",2,147212,1
"DAVID LEONARDO",2,147212,1
"RUBI LINA",2,147212,1
"DENIS AXEL",2,147212,1
"MAURICIO ENRIQUE",2,147212,1
"CRESCENCIA",2,147212,1
"ALONDRA JOHANA",4,147212,1
"ELFEGO",4,147212,1
"JENNIFER EUGENIA",2,147212,1
"NANCY EDITH",6,147212,1
"CRISTIAN BRAYAN",4,147212,1
"REYNA KRYSTAL",3,147212,1
"NELY",18,147212,1
"LUIS ALONSO",6,147212,1
"NORMA NATALY",2,147212,1
"PRINCIA ZAIREL",4,147212,1
"NOE DE JESUS",3,147212,1
"BILMA",2,147212,1
"YULIANA ABIGAIL",2,147212,1
"DANNA YAEL",2,147212,1
"ZAIDA YAZMIN",2,147212,1
"CLARIVEL",2,147212,1
"ROSA DE LIMA",4,147212,1
"VANESSA MARISOL",2,147212,1
"EVAUDELINA",2,147212,1
"DAMARIS YAMILETH",2,147212,1
"PANTALION",4,147212,1
"KATYA MARIA",2,147212,1
"BRENDA ITZEL",19,147212,1
"INES",39,147212,1
"EDUARDO JOSE",4,147212,1
"KEVIN DILAN",2,147212,1
"ERIK JESUS",6,147212,1
"JAVIER NICOLAS",2,147212,1
"VICTOR FERNANDO",6,147212,1
"DENISE ANDREA",4,147212,1
"MA MAGDALENA",23,147212,1
"PERLA IVONNE",7,147212,1
"GUSTAVO THADEO",2,147212,1
"YESICA FABIOLA",6,147212,1
"JAMILETX",1,147212,1
"MATIAS",6,147212,1
"YARETH",2,147212,1
"SANTANA DE JESUS",3,147212,1
"SAMANTHA SARAHY",2,147212,1
"JOSE JORGE",4,147212,1
"KARINA ELIZABETH",12,147212,1
"MARLYN IVONNE",2,147212,1
"RAQUEL YASMIN",3,147212,1
"LEOBARDO CESAR",2,147212,1
"MARYCARMEN",12,147212,1
"MARIA MAYANIN",6,147212,1
"SONIA IVETTE",4,147212,1
"MAYTHE CAROLINA",3,147212,1
"NAYELI ELIZABETH",2,147212,1
"JANETH GUADALUPE",10,147212,1
"LESLY ANAHI",2,147212,1
"ELEUTERIA",17,147212,1
"NORMA ISABEL",10,147212,1
"SECIA KEREN",6,147212,1
"CLAUDIA CITLALI",4,147212,1
"SELMA ADRIANA",8,147212,1
"HELEN AMPARO",2,147212,1
"ANDREA ADONAI",2,147212,1
"AXEL ORLANDO",2,147212,1
"OTILIA",8,147212,1
"SUAMY CRISTELL",4,147212,1
"OLGA DAMIANA",2,147212,1
"MARIA MONSERRATT",4,147212,1
"IDANIA",3,147212,1
"REFUGIO ADRIANA",2,147212,1
"GILDARDO",9,147212,1
"NORMA VERONICA",8,147212,1
"PAOLA ELIZABETH",6,147212,1
"SUJEY JANETH",4,147212,1
"RUVIELA",2,147212,1
"NORMA VIRIDIANA",4,147212,1
"ENMA MARILY",2,147212,1
"ALMA MELEY",2,147212,1
"LUDIVE",8,147212,1
"BRISA ALONDRA",2,147212,1
"GRACIELA ESMERALDA",3,147212,1
"ELOY IVAN",2,147212,1
"ANTONIO JAFETH",4,147212,1
"MAYERLI",2,147212,1
"MARIANA JAZMIN",6,147212,1
"IRMA ADRIANA",2,147212,1
"GUADALUPE ALONDRA",2,147212,1
"ROMEO",6,147212,1
"NICANOR",6,147212,1
"IRMA YAQUELIN",5,147212,1
"EMMELY YAJAIRA",2,147212,1
"DIANA LISSET",2,147212,1
"MARIA SANDRA",16,147212,1
"KARLA JAQUELINE",2,147212,1
"BEATRIZ  DEL CARME",2,147212,1
"KAREN GHYSLAINE LETICIA",3,147212,1
"ANA JULIETA",2,147212,1
"GILBERTO FERNANDO",2,147212,1
"ALMA DELI",4,147212,1
"LIZETH VERONICA",5,147212,1
"CARMEN LUCIA",8,147212,1
"MAGDA MARIANA",2,147212,1
"PERLA SAMANTHA",2,147212,1
"VANIA NAOMI",2,147212,1
"LISBET YANET",2,147212,1
"ANGEL OCTAVIO",7,147212,1
"MYRNA FERNANDA",2,147212,1
"MA AIDA",4,147212,1
"NORALVA DE JESUS",2,147212,1
"PAUL IVAN",2,147212,1
"BLANCA ISELA",16,147212,1
"DENIS MABEL",4,147212,1
"OSMARA CRISTAL",5,147212,1
"ZAIRA ALINE",2,147212,1
"AURELIA ANTONIA",4,147212,1
"ALDO NERI",4,147212,1
"JUANA DELIA",2,147212,1
"ROMMEL ROMARIO",1,147212,1
"LAZARO ANTONIO",2,147212,1
"ANGELES DEYRA",2,147212,1
"MARTHA ESTEFANIA",2,147212,1
"MARIO JAVIER",2,147212,1
"ALFONSO OCTAVIO",2,147212,1
"FLOR SILVESTRE",2,147212,1
"AFRICA HONDINA",3,147212,1
"MA BLADYS",2,147212,1
"ADRIAN GUILLERMO",2,147212,1
"YARELI VIRIDIANA",2,147212,1
"MARICELA NEFTALI",2,147212,1
"AIDA PAOLA",3,147212,1
"ANA RAQUEL",4,147212,1
"ISIDRO AGUSTIN",4,147212,1
"AMANDA GUADALUPE",9,147212,1
"IVAN ALBERTO",4,147212,1
"JESSICA PAOLA",7,147212,1
"NATHYA",2,147212,1
"CRISTOFHER",5,147212,1
"KARLA SUSAN",2,147212,1
"ZAHIRA MAGALY",2,147212,1
"HERA",2,147212,1
"XOCHILT",3,147212,1
"MARIA SANDRA JAZMI",2,147212,1
"MITZI YAVARY GUADALUPE",2,147212,1
"LUZ IRENE",7,147212,1
"GRICENDI",2,147212,1
"CARLA YESENIA",4,147212,1
"LUIS JOSMAR",8,147212,1
"ROSA ELIA",13,147212,1
"RAMSES",13,147212,1
"LIZETH MARGARITA",2,147212,1
"JULISSA ARACELY",2,147212,1
"MINERVA LAURA MONTSERRAT",4,147212,1
"MARIA ELIA",6,147212,1
"DULCE ANAYELI",2,147212,1
"JENNIFER IVONNE",2,147212,1
"WENDY YESENIA",2,147212,1
"HECTOR ALFONSO",4,147212,1
"EUNICES",4,147212,1
"KATRINA",2,147212,1
"ARACELI PAULA",3,147212,1
"JOSELIM NOHEMI",2,147212,1
"MINU JOAQUINA",2,147212,1
"EVELYN AZUCENA",2,147212,1
"ALONDRA DEL CARMEN",4,147212,1
"ESTEPHANIE",4,147212,1
"KATHIA MICHEL",4,147212,1
"DORIS",4,147212,1
"MAYRA GRISELDA",12,147212,1
"ANGELES NATIVIDAD",2,147212,1
"ANNAYANCI",2,147212,1
"AMAIRANY ITZAMAN",2,147212,1
"JOVANA ELIZABETH",4,147212,1
"LILIA PAOLA",2,147212,1
"RUTH NOEMI",7,147212,1
"SARA EDITH",6,147212,1
"CINTHYA GUADALUPE",9,147212,1
"HELI",4,147212,1
"IZBEIDI YUKARI",2,147212,1
"YERI FERNANDA",2,147212,1
"KAREN ISABEL",2,147212,1
"ANASTASIA ANA MARIA",2,147212,1
"CARLOS GONZALO",4,147212,1
"JUANA BELEN",2,147212,1
"ANA YAJAIRA",2,147212,1
"DAIRA",3,147212,1
"ARTURO DANIEL",8,147212,1
"SARVIA NOEMI",2,147212,1
"DAIRA YAMIL",2,147212,1
"NATALIA MONTSERRAT",5,147212,1
"CHRISTIAN ALEXIS",4,147212,1
"ROSA MARIA HAZEL",4,147212,1
"ALMA ALICIA",8,147212,1
"JAIRO JESUS",4,147212,1
"YEMELIN",2,147212,1
"ANGEL DANIEL",6,147212,1
"ANA ARELI",4,147212,1
"SANDRA CECILIA",20,147212,1
"DOMITILA",8,147212,1
"MELANY ARANZA",2,147212,1
"ELENA LIZBETH",2,147212,1
"AMAIRANI",18,147212,1
"ROGER ANDRES",2,147212,1
"PERLA ALEJANDRA",6,147212,1
"MONSERRAT NAYELI",2,147212,1
"NORMA YASMIN",1,147212,1
"NORBERTO BRAYAM",2,147212,1
"MAGDA KARINA",5,147212,1
"ELVIS REYMUNDO",2,147212,1
"KARLA PAULINA",5,147212,1
"ANGEL ERICK",5,147212,1
"YESENIA JERUSALEM",3,147212,1
"JONATHAN ALBERTO",4,147212,1
"PERLA GUADALUPE",14,147212,1
"YOZETH",17,147212,1
"ANGEL ALFREDO",2,147212,1
"VICTOR ALEXIS",2,147212,1
"JESUS ALEXANDER",6,147212,1
"LAURA HISAI",2,147212,1
"BLANCA ELIZABETH",10,147212,1
"DINA ISELA",2,147212,1
"CIPRIANO",8,147212,1
"NADIA ITZEL",2,147212,1
"LUCIA VIVIANA",2,147212,1
"LIZETTE",13,147212,1
"JORGE MARTIN",2,147212,1
"FABIOLA RUBI",2,147212,1
"ALMA JUDITH",6,147212,1
"OSCAR CRISTIAN",2,147212,1
"ALEJO",4,147212,1
"DULCE DENISSE",2,147212,1
"ANA SYLVIA",8,147212,1
"MARISSA BEATRIZ",4,147212,1
"CESAR ALEJANDRO",12,147212,1
"LESLI THALIA",2,147212,1
"MAYRA YVETT",2,147212,1
"VALDEMAR",2,147212,1
"GERALDINE",6,147212,1
"CARLOS SINOHE",2,147212,1
"MARIA DEL CARMEN Y",2,147212,1
"DANTE ALEJANDRO",4,147212,1
