"FCDATOBENEFIC","FNREGISTROS","FNTOTAL","FITIPODATO"
"JUVENTINO",4,147212,1
"LUISA MARIA",12,147212,1
"YESSICA GUADALUPE",6,147212,1
"FERNANDO",297,147212,1
"SENDY LORENA",4,147212,1
"ALEXANDRE",5,147212,1
"FRANCISCO FABIAN",4,147212,1
"JOSE ANTONIO",234,147212,1
"JAAZIEL",2,147212,1
"PEDRO",190,147212,1
"MARIA LIZET",4,147212,1
"MAGDALENA",119,147212,1
"JOSE DE JESUS",147,147212,1
"MIGUEL ANGEL",578,147212,1
"MARIA DEL REFUGIO",61,147212,1
"ALFREDA",2,147212,1
"VERONICA",674,147212,1
"LILIANA",313,147212,1
"BETANIA",4,147212,1
"PALOMA",40,147212,1
"IRMA",170,147212,1
"SERGIO",205,147212,1
"JANETH JAQUELIN",2,147212,1
"CECILIA",373,147212,1
"ROBERTO",193,147212,1
"SAYDI EVELINA",4,147212,1
"LIDIA",127,147212,1
"FLOR DE MARIA",23,147212,1
"CINDY",20,147212,1
"RODOLFO",75,147212,1
"MARTHA ALICIA",84,147212,1
"ADRIAN ISRAEL",2,147212,1
"ITZEL",109,147212,1
"ANGELICA ARACELI",2,147212,1
"JAZMIN HAIDDE",2,147212,1
"JUAN AUREO",2,147212,1
"FLAVIO CESAR",11,147212,1
"DELIA",52,147212,1
"MARIBEL",394,147212,1
"FERMIN",24,147212,1
"ROSA",238,147212,1
"TANIA",138,147212,1
"ARIADNA",24,147212,1
"LAURA JOVA",4,147212,1
"JUAN JOSE",146,147212,1
"SANDRA",371,147212,1
"BERTHA ALICIA",47,147212,1
"ANA ELVIA",6,147212,1
"MARIA DE GUADALUPE",13,147212,1
"YESSICA NOHEMI",4,147212,1
"GUADALUPE",747,147212,1
"SANDRA YAZMIN",2,147212,1
"MARIA ESTEFANI",2,147212,1
"SILVIA",371,147212,1
"LUIS ENRIQUE",171,147212,1
"CLAUDIA",374,147212,1
"ANGELA",80,147212,1
"LUZ MARIA",155,147212,1
"YURIZELA",1,147212,1
"JORGE LUIS",143,147212,1
"AISLY ANDREA",4,147212,1
"JESUS",329,147212,1
"MERCED",18,147212,1
"DEBORA MIRIAM",17,147212,1
"SOLEDAD",53,147212,1
"MARIA DEL ROSARIO",351,147212,1
"LUIS ANGEL",193,147212,1
"CONCEPCION",53,147212,1
"FERNANDA ESTEFANIA",2,147212,1
"JESUS EDUARDO",39,147212,1
"BERTHA BERENICE",2,147212,1
"JOSE ENRIQUE",36,147212,1
"CHRISTIAN YONICET",8,147212,1
"TANIA JESENIA",2,147212,1
"LAURA MAGALI",4,147212,1
"JOSE CARMEN",13,147212,1
"ARMANDO",157,147212,1
"BRAULIA",12,147212,1
"MARTHA PATRICIA",90,147212,1
"DIANA",281,147212,1
"ALICIA",362,147212,1
"ELIZABETH",756,147212,1
"TOMAS",50,147212,1
"CLARA",66,147212,1
"ROSALINA",26,147212,1
"ESPERANZA",106,147212,1
"JAIME JHOVANI",4,147212,1
"CYNTHIA LIZBETH",4,147212,1
"ALEJANDRA LISETH",2,147212,1
"JOSE ALBERTO DE JESUS",2,147212,1
"JOSE ANGEL",105,147212,1
"LETICIA",481,147212,1
"ANEL",17,147212,1
"YADIRA ISABEL",5,147212,1
"SONIA",237,147212,1
"ANA KAREN",297,147212,1
"ISRAEL",138,147212,1
"NESTOR DANIEL",12,147212,1
"ALEJANDRA YAZMIN",6,147212,1
"DAYSI",3,147212,1
"MARIA MAGDALENA",196,147212,1
"URSULA",4,147212,1
"EMMA HACIEL",2,147212,1
"MA DOLORES",13,147212,1
"MARTHA",245,147212,1
"NORBERTO DANIEL",4,147212,1
"BETSY AYLIN",6,147212,1
"ERIKA",444,147212,1
"MA LUISA",33,147212,1
"ALMA ROSARIO",5,147212,1
"TAVITA",7,147212,1
"JOSE LUIS",397,147212,1
"ERICKA",24,147212,1
"MONSSERRAT DE JESU",3,147212,1
"JESSICA ALEJANDRA",18,147212,1
"ENRIQUE OLIVER",2,147212,1
"DORIS LIZETH",3,147212,1
"ADOLFO",46,147212,1
"LORENA JOSELIN",2,147212,1
"YAZMIN BEATRIZ",2,147212,1
"ILSE YOMARA",4,147212,1
"JESUS ARMANDO",10,147212,1
"KAREN ARIANNE",2,147212,1
"BLANCA AZUCENA",10,147212,1
"SABINE",2,147212,1
"ROCIO ARACELI",2,147212,1
"ANAHI",115,147212,1
"ROSA ISELA",200,147212,1
"NADINE",6,147212,1
"MA DE LOS ANGELES",64,147212,1
"MARIELA",181,147212,1
"ROSA AUDELIA",10,147212,1
"SELENE DE LOS ANGE",2,147212,1
"FRANCISCO ARTURO",6,147212,1
"JARUMI JAZMIN",2,147212,1
"TERESITA MICHEL",4,147212,1
"MARCELO",20,147212,1
"ROXANA",52,147212,1
"SANDRA PATRICIA",24,147212,1
"ROMAN",23,147212,1
"NATIVIDAD DE JESUS",6,147212,1
"CRISTINA",258,147212,1
"ABDIEL HERIBERTO",4,147212,1
"ADILENE",58,147212,1
"MAURICIO DEMETRIO",14,147212,1
"GLORIA YOSELIN",4,147212,1
"BLANCA IVON",4,147212,1
"OSCAR JOSUE",4,147212,1
"GARDEMIA",2,147212,1
"JUAN",241,147212,1
"ABDEEL ISAAC",5,147212,1
"MARIA CRISTINA",121,147212,1
"MARCELA",112,147212,1
"JAHAZIEL GAMALIEL",2,147212,1
"GLORIA",233,147212,1
"HUMBERTO",106,147212,1
"VANIA ODALYS",2,147212,1
"ANA MARTINA",2,147212,1
"ANA ISELA",6,147212,1
"JESUS MANUEL",51,147212,1
"SHARON DANAE",2,147212,1
"MARTINA",41,147212,1
"EDITH",171,147212,1
"ILIANA",17,147212,1
"CIANELI",2,147212,1
"DULCE AMAYRANI",3,147212,1
"HECTOR ARTURO",6,147212,1
"GENESIS ABIGAIL",2,147212,1
"NELLY CECILIA",2,147212,1
"MARIA LUISA",168,147212,1
"JOSE MANUEL",226,147212,1
"CONSUELO",83,147212,1
"JESUS ALBERTO",54,147212,1
"JAYRO FRANCISCO",2,147212,1
"JACQUELINE",103,147212,1
"MIREYA AURORA",2,147212,1
"DAMARIS ITZEL",2,147212,1
"SOFIA",88,147212,1
"MARIA VIRGINIA",31,147212,1
"LUIS MIGUEL",58,147212,1
"MA DE JESUS",83,147212,1
"RICARDO",323,147212,1
"NEYDA LUBI",4,147212,1
"FRANCISCA",146,147212,1
"BRAYAN JAZHEEL",2,147212,1
"YULIVET",6,147212,1
"TERESA",250,147212,1
"JUAN POMPEYO",2,147212,1
"EMMANUEL ARTEMIO",2,147212,1
"JOSEFINA",201,147212,1
"DANIELA",282,147212,1
"MIGUEL",189,147212,1
"CITLALY GABRIELA",3,147212,1
"JULIO CESAR",236,147212,1
"ROSA MARIA EDITH",1,147212,1
"HUGO",113,147212,1
"DAVID",287,147212,1
"ANA GLORIA",13,147212,1
"JOEL",128,147212,1
"AIDA",39,147212,1
"MARIA SELENE",12,147212,1
"MARIA ELENA",340,147212,1
"MARISOL",376,147212,1
"ANTONIO",186,147212,1
"IVAN",158,147212,1
"JOUBEI LEE",4,147212,1
"MARIA JOSE",93,147212,1
"BLANCA PATRICIA",14,147212,1
"NORA PATRICIA",10,147212,1
"JANNETH AREN",4,147212,1
"MARIA INES",46,147212,1
"MARIA ERAYDA",3,147212,1
"ANA BELEM",10,147212,1
"ALMA MARGARITA",6,147212,1
"JANET",91,147212,1
"OSCAR",219,147212,1
"BERTHA",43,147212,1
"NORMA YULIANA",4,147212,1
"GUILLERMO JACOBO",2,147212,1
"ESTEFANY YESENIA",2,147212,1
"JOSE RAMON",29,147212,1
"MARIA IXEL",2,147212,1
"MARIA CAROLINA",20,147212,1
"JHENNIFER GISELA",2,147212,1
"ABRAHAM DE JESUS",6,147212,1
"DANIEL ALBERTO",30,147212,1
"CIBELES",2,147212,1
"YOLANDA",287,147212,1
"MANUEL EDUARDO",6,147212,1
"ARTURO",270,147212,1
"ADALIRIO",2,147212,1
"SANDRA ANGELICA",9,147212,1
"VICTOR",120,147212,1
"ABEL",60,147212,1
"CINTHIA NALLELY",2,147212,1
"ENRIQUE",167,147212,1
"LORENA",309,147212,1
"EDER OSWALDO",7,147212,1
"MARIA DOLORES",131,147212,1
"KATIA",18,147212,1
"JOCELYN",33,147212,1
"VICTORIA",135,147212,1
"YULIANA",64,147212,1
"CARLOS AMADOR",2,147212,1
"CLAUDIA GABRIELA",14,147212,1
"GISEL",2,147212,1
"VALENTIN",43,147212,1
"YESENIA",320,147212,1
"DIANA ROCIO",10,147212,1
"SONIA IMELDA",4,147212,1
"BLANCA IDALIA",2,147212,1
"MARIA SUSANA",33,147212,1
"HERLINDA",30,147212,1
"MA DE LOURDES",25,147212,1
"FABIOLA",313,147212,1
"CARLOS URIEL",8,147212,1
"NANCY",337,147212,1
"DULCE IDALIA",2,147212,1
"ESLY BERENICE",2,147212,1
"HERMELINDA",43,147212,1
"ELICEO",4,147212,1
"YANELY ADELA",6,147212,1
"ESMERALDA",267,147212,1
"JUAN FRANCISCO",69,147212,1
"SANDRA ELIZABETH",27,147212,1
"IRMA LETICIA",14,147212,1
"MARIA DEL SOCORRO",136,147212,1
"IVETTE",35,147212,1
"ERIVAN",3,147212,1
"GRACIELA",136,147212,1
"PERLA VICTORIA",5,147212,1
"HELADIO",4,147212,1
"LUZ ELENA",106,147212,1
"ANGEL CRISTOFER",29,147212,1
"KATTY YANELLY",2,147212,1
"MELVIN JESUS",2,147212,1
"JUAN ANTONIO",146,147212,1
"YURIDIA YOKEBED",2,147212,1
"PAOLA JULISSA",4,147212,1
"YOSELLINE YAMILETH",2,147212,1
"ALMA PATRICIA",21,147212,1
"NEYLI YANNARI",2,147212,1
"FRANCISCO",244,147212,1
"LOURDES",98,147212,1
"GUADALUPE LIZBETH",10,147212,1
"ROSARIO",129,147212,1
"IDAIN UZIEL",2,147212,1
"SUSANA YANET",2,147212,1
"MARIA CECILIA",40,147212,1
"BEATRIZ",329,147212,1
"ANDREA",240,147212,1
"ITZEL JAZMIN",4,147212,1
"LUIS GERARDO",57,147212,1
"MARIANA ITZEL",7,147212,1
"CATALINA",152,147212,1
"FATIMA DE JESUS",9,147212,1
"LEONARDO",91,147212,1
"NELSON ANDRE",6,147212,1
"JONATHAN ENRIQUE",2,147212,1
"CASIANO",2,147212,1
"FAVIOLA",14,147212,1
"IRAN BERENICE",2,147212,1
"MIRNA AIDEE",6,147212,1
"VICKY ELIZABETH",2,147212,1
"CAROLINA",347,147212,1
"ARVEY",2,147212,1
"VALERIA ALEJANDRA",10,147212,1
"KAREN PATRICIA",10,147212,1
"ROGELIO",133,147212,1
"LEONOR",57,147212,1
"MIRIAM JESSICA",9,147212,1
"ORLANDO",42,147212,1
"KATIA VALERIA",2,147212,1
"ARACELIS ESMERALDA",2,147212,1
"ABRAHAM MARCELINO",4,147212,1
"JUDITH GUADALUPE",10,147212,1
"FRANCISCA PLACIDA",2,147212,1
"CARMEN YURIDIA",2,147212,1
"ANGELICA",410,147212,1
"MARIA ESTELA",39,147212,1
"RUBI ESMERALDA",16,147212,1
"ORALIA",47,147212,1
"LUCERO YANETH",2,147212,1
"MARGARITA",315,147212,1
"MARISELA",136,147212,1
"DIEGO",69,147212,1
"ARELY YOCELYNE",2,147212,1
"CLAUDIA ABIGAIL",4,147212,1
"JANELIT JAZMIN",2,147212,1
"YINA LIZBETH",2,147212,1
"ROSARIO ELIZABETH",2,147212,1
"YESICA",69,147212,1
"JESUS ENRIQUE",16,147212,1
"OMAR ANTONIO",6,147212,1
"MAGDA GUADALUPE",4,147212,1
"EDMUNDO",14,147212,1
"MARIA ELIZABETH",82,147212,1
"YOANA",6,147212,1
"STEVE",6,147212,1
"BENIGNO",16,147212,1
"EVA",67,147212,1
"ANA LIZETH",11,147212,1
"JUPITER VICTOR",2,147212,1
"BLANCA",40,147212,1
"PAULA",95,147212,1
"HOGLA",2,147212,1
"MARIA SALOME ROSA",2,147212,1
"ADAN",26,147212,1
"JUAN MARTIN",19,147212,1
"MAYOLO",7,147212,1
"AZUCENA",126,147212,1
"KARLA VIRIDIANA",10,147212,1
"CLAUDIA SUYIN",2,147212,1
"REY DAVID",20,147212,1
"JOSE ADAN",10,147212,1
"SAMUEL DANIEL",2,147212,1
"JULIETA",60,147212,1
"JUAN DE DIOS",27,147212,1
"MAYTE",26,147212,1
"LAURA IVETTE",4,147212,1
"ENIMIA",4,147212,1
"NANCY ESMERALDA",5,147212,1
"HILDA YADIRA",2,147212,1
"MONICA YAZMIN",2,147212,1
"MARIA DE JESUS",313,147212,1
"ALEIDYS DEL CARMEN",2,147212,1
"ADRIANA LIZBETH",10,147212,1
"MARIA DE LA LUZ",233,147212,1
"NORMA LORENA",10,147212,1
"MARIANA ALEJANDRA",8,147212,1
"JAVIER",273,147212,1
"JAIME AUGUSTO",4,147212,1
"OMAR",186,147212,1
"YANET",93,147212,1
"FRANCISCA MELISSA",2,147212,1
"LAURA EDITH",45,147212,1
"ABIGAIL",194,147212,1
"PILAR",27,147212,1
"ANA ROSA",72,147212,1
"FRANCISCO MANUEL",20,147212,1
"JULISSA",38,147212,1
"MAGDALENA MARGARITA",4,147212,1
"SAUL",83,147212,1
"CYNTHIA BERENICE",10,147212,1
"GUILLERMO",176,147212,1
"ABRAHAM",74,147212,1
"ELBA LUZ",4,147212,1
"YOANNA",6,147212,1
"ANALLELY",36,147212,1
"ALMA",37,147212,1
"KATYA GUADALUPE",4,147212,1
"GABRIEL",108,147212,1
"ANA GABRIELA",111,147212,1
"MARTE",1,147212,1
"YADIRA",132,147212,1
"BERENICE",211,147212,1
"MAYELA",4,147212,1
"RICARDO GABRIEL",10,147212,1
"ALAN",44,147212,1
"BLANCA ESTRELLA",5,147212,1
"GUADALUPE ARLETH",2,147212,1
"LAURA MELISSA",10,147212,1
"RUTH ELIZABETH",10,147212,1
"CELESTINO",11,147212,1
"VIRIDIANA MARISOL",6,147212,1
"ZARELY AZUCENA",2,147212,1
"ALMA CRISTINA",12,147212,1
"LIDIA DE JESUS",2,147212,1
"ANA SOFIA",10,147212,1
"DIANA LAURA",188,147212,1
"JOVANA",8,147212,1
"NUVIA",2,147212,1
"BADIA PAOLA",2,147212,1
"ADRIANA GETSEMANI",2,147212,1
"VILMA LIZETH",4,147212,1
"LUIS FERNANDO",165,147212,1
"AXEL JESUS",2,147212,1
"SERGIO FABRICIO",6,147212,1
"SAMUEL",97,147212,1
"ROALD EVANDHER",2,147212,1
"ISAAC",60,147212,1
"MARIA EULALIA",8,147212,1
"MIRIAM ANDREA",2,147212,1
"OLEGARIO",10,147212,1
"MARIA ASTRID",8,147212,1
"EVELY",4,147212,1
"ADI JANET",2,147212,1
"SANDRA LETICIA",14,147212,1
"EDITH MARISOL",2,147212,1
"JANETH",78,147212,1
"BRISEIDA ZUGHEY",2,147212,1
"DALIA",37,147212,1
"JUANA YETCEMANI",2,147212,1
"IRLANDA YORAIMA",4,147212,1
"TERESA IZARAY",2,147212,1
"FABIOLA GRISELL",7,147212,1
"LIDIA JANET",12,147212,1
"AGRIPINO RUDIER",2,147212,1
"ALONDRA",154,147212,1
"NERCY ABIGAIL",8,147212,1
"SALACAIN",2,147212,1
"ZAYRA GUADALUPE",2,147212,1
"CLEOPATRA",2,147212,1
"ANETT ANDREA",2,147212,1
"MIRNA",38,147212,1
"LITZY",6,147212,1
"NANCY ITZEL",6,147212,1
"YAREDY",6,147212,1
"RUBIELA",3,147212,1
"OLIVIA",98,147212,1
"ANGELICA MARIA",106,147212,1
"IVANN ALBERTO",2,147212,1
"NADIA GUADALUPE",16,147212,1
"YOALI",5,147212,1
"MARIA VICTORIA",60,147212,1
"SERGIO DAVID",10,147212,1
"SANDRA VIANEY",4,147212,1
"IRAM DE JESUS",6,147212,1
"MARIVIT",2,147212,1
"DEYSI KARELI",2,147212,1
"MAYRA SELENE",10,147212,1
"ROCIO ANTONINA",2,147212,1
"JOSE IGNACIO",34,147212,1
"KARLA BEATRIZ",8,147212,1
"MARTIN",165,147212,1
"LUIS ALBERTO",231,147212,1
"ELMI ANGELICA",2,147212,1
"JORDI KARIM",3,147212,1
"NOE",96,147212,1
"ELVIA AMAIRANI",2,147212,1
"ABEL HERIBERTO",2,147212,1
"FILIBERTO",17,147212,1
"PABLO OMAR",1,147212,1
"MAYRA ELISA",6,147212,1
"LUIS",96,147212,1
"CARMELITA CELEDONI",11,147212,1
"CARLOS MANUEL",20,147212,1
"BEATRIZ ADRIANA",132,147212,1
"LILIANA DANAE",2,147212,1
"ALMA DEYSI",4,147212,1
"LESLIE MICHELLE",5,147212,1
"SHEILA SAYANET",2,147212,1
"ANA ISABEL",66,147212,1
"BIANI",2,147212,1
"LADY DE YADIRA",5,147212,1
"LILIAN MARISOL",2,147212,1
"DAVID RUBEN",4,147212,1
"MANOELA",2,147212,1
"MARIA LILIA",6,147212,1
"FREDY GABRIEL",2,147212,1
"NOHEMI",82,147212,1
"REYNALDO",54,147212,1
"BEATRIZ BEDELEM",2,147212,1
"HERLINDA ALEJANDRA",2,147212,1
"LUCIA DEL CARMEN",14,147212,1
"ALFREDO",137,147212,1
"ALEJANDRA IVETTE",2,147212,1
"VIANEY",90,147212,1
"LUCERO",178,147212,1
"LIZETH",86,147212,1
"LUZ CLARITA",12,147212,1
"HAIDE MAYELA",2,147212,1
"BRAYAN ALI",2,147212,1
"MIREYA",107,147212,1
"CARMEN CYNTHIA",2,147212,1
"LAURA JESSICA",8,147212,1
"MAYRA LUZ",2,147212,1
"ERICA",35,147212,1
"RODY",2,147212,1
"ANA LOREN",2,147212,1
"ESTHER",112,147212,1
"OSCAR GERARDO",16,147212,1
"YADIRA FABIOLA",4,147212,1
"VANESSA",160,147212,1
"LILIANA ARELIS",2,147212,1
"KAREN SAMANTHA",2,147212,1
"MIGUEL ALBERTO",10,147212,1
"ROBERTO CARLO",4,147212,1
"MARTHA ELENA",50,147212,1
"VILIULFO",2,147212,1
"LITZI ESTHEFANIA",2,147212,1
"JUDITH",92,147212,1
"GLORIA MALENY",4,147212,1
"ANA LAURA",287,147212,1
"YESICA ITAYEPSI",2,147212,1
"LIZBETH",231,147212,1
"MARIA DEL ROCIO",130,147212,1
"BIVIANA",15,147212,1
"NAHOMI",2,147212,1
"CECILIA MICHELL",3,147212,1
"ELIZABETH MONSERRA",8,147212,1
"SUJEY",6,147212,1
"JESSICA VERONICA",6,147212,1
"CELIA",80,147212,1
"IRIS",26,147212,1
"ARANZA ITZEL",2,147212,1
"EMMANUEL MAURO",2,147212,1
"EBDULIA",2,147212,1
"BIBIANA",45,147212,1
"ZAIRA DONAJI",2,147212,1
"MARIA ALEJANDRA",123,147212,1
"ELSA PATRICIA",5,147212,1
"CARLOS VICTOR",2,147212,1
"ALEXANDER IVAN",4,147212,1
"LILA ELIZABETH",2,147212,1
"LAURA",395,147212,1
"NAYELY VIRGINIA",2,147212,1
"ELVIA",114,147212,1
"ALONDRA DIANEY",2,147212,1
"KAREN IDALIA",6,147212,1
"HECTOR ANTONIO",13,147212,1
"MARIA DE SANJUAN",4,147212,1
"IRMA JOANA",7,147212,1
"CRISTINA ITZEL",2,147212,1
"ERIK",32,147212,1
"MIRNA YESENIA",2,147212,1
"EMPERATRIZ GUADALUPE",2,147212,1
"EUNICE GUADALUPE",4,147212,1
"ALFREDO ANTONIO",2,147212,1
"SANDY",30,147212,1
"NANCY LORENA",6,147212,1
"CASANDRA ITZEL",4,147212,1
"DEYSI ESTELA",3,147212,1
"NORMA LIZETH",2,147212,1
"MIRIAM LIZBETH",9,147212,1
"MIRNA ALEJANDRA",8,147212,1
"LEONCIO",6,147212,1
"DIANA MICHELL",6,147212,1
"ERNESTO IVAN",4,147212,1
"MARTHA ALEJANDRA",13,147212,1
"ENOC",9,147212,1
"LUIS ALEJANDRO",32,147212,1
"ROSA EVELIA",6,147212,1
"MAURICIO",84,147212,1
"MA EUGENIA",19,147212,1
"ELIAS ARMANDO",2,147212,1
"MARIA FLORA GRACIELA",6,147212,1
"TERESA MONSERRAT",3,147212,1
"DOLORES  EDITH",2,147212,1
"ROSITA",21,147212,1
"SAIRA MIREYA",2,147212,1
"JOSE",184,147212,1
"NORMA EDITH",18,147212,1
"OSWALDO",64,147212,1
"VIRIDIANA",196,147212,1
"SANDRA PAOLA",29,147212,1
"NEFTALI ALEJANDRA",2,147212,1
"HEIDY LIZBETH",7,147212,1
"LIDIA SARAI",2,147212,1
"MAURA LILIA",2,147212,1
"ENRIQUETA",22,147212,1
"EDSON DAVID",8,147212,1
"BLANCA MARLEN",4,147212,1
"CHRISTOPHER GABRIEL",8,147212,1
"DOLORES MERCEDES ARCENEET",1,147212,1
"SERGIO HECTOR",12,147212,1
"NATALIA MARGARITA",6,147212,1
"BRANDON GUSTAVO",2,147212,1
"MAYENZI IRANZU",2,147212,1
"GERMAN OMAR",8,147212,1
"DIOCANOR",6,147212,1
"LUIS RAUL",7,147212,1
"DIANA MARGARITA",3,147212,1
"CITLALLI",36,147212,1
"ERICK GESSURY",4,147212,1
"NANCY YESENIA",6,147212,1
"LINDERE",2,147212,1
"MANUEL SALVADOR",4,147212,1
"ASUCENA",11,147212,1
"JOSE ADOLFO",6,147212,1
"ALBERTO JONATHAN",4,147212,1
"JUVENTINA",8,147212,1
"JOAN AXEL",2,147212,1
"MARCOS",64,147212,1
"NARCISA",2,147212,1
"ALMA GUILLERMINA",8,147212,1
"WILLIAM",6,147212,1
"ANOLAN",2,147212,1
